1,Attachment Name Formatting,By JYC333,6781,Formatting attachments name (filename attachmentType indexNumber.xxx).,https://github.com/JYC333/obsidian-attachment-name-formatting
2,Steemit,By anpigon,403,Publish Obsidian documents to Steemit.,https://github.com/anpigon/obsidian-steemit-plugin
3,Link Exploder,By Ben Hughes,2689,"Link Exploder creates a canvas from a note, embedding it's incoming (i.e. backlinks) and outgoing links onto the canvas (as well as the their linked notes).",https://github.com/benhughes/obsidian-link-exploder
4,Markdoc,By Maciej Jur,64,Basic support for Markdoc files.,https://github.com/kamoshi/obsidian-markdoc
5,Daily Named Folder,By Nemo Andrea,2901,"Like daily notes, but nested in a daily folder with a oneline summary. Better for attachment management & glanceability.",https://github.com/NemoAndrea/obsidian-daily-named-folder
6,Easy Typing,By yaozhuwa,49260,Auto format when typing.,https://github.com/Yaozhuwa/easy-typing-obsidian
7,HackerNews,By arpitbbhayani,1608,Periodically fetches and displays top stories from HackerNews.,https://github.com/arpitbbhayani/obsidian-hackernews
8,Tomorrow's Daily Note,By Will Olson,2624,Creates tomorrow's daily note for preemtive planning.,https://github.com/frankolson/obsidian-tomorrows-daily-note
9,Improved VimCursor,By hhhapz,1399,An improved experience with the cursor in Obsidian.,https://github.com/hhhapz/improved-obsidian-vimcursor
10,Google Calendar and Contacts Lookup,By ntawileh,4699,Import contact and calendar event information from your Google account.,https://github.com/ntawileh/obsidian-google-lookup
11,Readwise Mirror,By jsonmartin,2981,Mirror your Readwise library directly into an Obsidian vault.,https://github.com/jsonMartin/readwise-mirror
12,Key Promoter,By Johannes Theiner,5893,Learn keyboard shortcuts by showing them when using the mouse,https://github.com/joethei/obsidian-key-promoter
13,Markdown prettifier,By pelao,56764,Fix and reformats ugly Markdown.,https://github.com/cristianvasquez/obsidian-prettify
14,Scroll Offset,By Lijyze,1315,Preserve custom distances before or after cursor.,https://github.com/lijyze/scroll-offset
15,AI Mentor,By clementpoiret,428,"Meet your open source AI mentor in Obsidian. Ask questions, get answers, and learn new things.",https://github.com/clementpoiret/ai-mentor
16,Admonition,By Jeremy Valentine,408470,Admonition block-styled content for Obsidian.,https://github.com/javalent/admonitions
17,Remember cursor position,By Dmitry Savosh,33385,Remember cursor and scroll position for each note.,https://github.com/dy-sh/obsidian-remember-cursor-position
18,Cron,By Callum Loh,277,Simple CRON / scheduler plugin to regularly run user scripts or Obsidian commands.,https://github.com/cdloh/obsidian-cron
19,Obsidian Stylist,By ixth,696,Add classes and styles on Markdown blocks.,https://github.com/ixth/obsidian-stylist
20,Reveal file in explorer,By 1C0D,1349,Clicking header title reveal active file in explorer and (option) when opening file + option to fold other directories.,https://github.com/1C0D/Obsidian-Reveal-File-in-explorer
21,Awesome Reader,By AwesomeDog,1051,Make Obsidian a proper Reader.,https://github.com/AwesomeDog/obsidian-awesome-reader
22,LaTeX to Unicode converter,By fjdu,178,Convert LaTeX commands into unicode sqeuences.,https://github.com/fjdu/obsidian-latex-unicode
23,Checklist,By delashum,204953,Consolidate checklists across all files into a single view.,https://github.com/delashum/obsidian-checklist-plugin
24,Korean Book Info Plugin,By kmsk99,1780,Crawls Yes24 to get book information.,https://github.com/kmsk99/kr-book-info-plugin
