text-lg,col2,py-3,ml-auto href
Excalidraw,1056673,Edit and view Excalidraw drawings.,https://github.com/zsviczian/obsidian-excalidraw-plugin
Dataview,959088,Advanced queries over your vault for the data-obsessed.,https://github.com/blacksmithgu/obsidian-dataview
Advanced Tables,951087,Improved table navigation formatting and manipulation.,https://github.com/tgrosinger/advanced-tables-obsidian
Kanban,782381,Create Markdown-backed Kanban boards in Obsidian.,https://github.com/mgmeyers/obsidian-kanban
Calendar,736180,Simple calendar widget for Obsidian.,https://github.com/liamcain/obsidian-calendar-plugin
Advanced Slides,629499,Create Markdown-based presentations in Obsidian.,https://github.com/MSzturc/obsidian-advanced-slides
Tasks,628198,Task management for Obsidian,https://github.com/obsidian-tasks-group/obsidian-tasks
Templater,591013,Create and use templates.,https://github.com/SilentVoid13/Templater
Obsidian Git,559475,Backup your vault with Git,https://github.com/denolehov/obsidian-git
Outliner,541090,Work with your lists like in Workflowy or Roam Research.,https://github.com/vslinko/obsidian-outliner
Style Settings,492964,Offers controls for adjusting theme plugin and snippet CSS variables.,https://github.com/mgmeyers/obsidian-style-settings
Admonition,471933,Admonition block-styled content for Obsidian.,https://github.com/javalent/admonitions
Minimal Theme Settings,444066,Control the colors and fonts in Minimal Theme.,https://github.com/kepano/obsidian-minimal-settings
Sliding Panes (Andy's Mode),384262,Sliding Panes (Andy Matuschak Mode) as a plugin,https://github.com/deathau/sliding-panes-obsidian
QuickAdd,383176,Quickly add new notes or content to your vault.,https://github.com/chhoumann/quickadd
Mind Map,324574,Displays Markdown notes as mind maps using Markmap.,https://github.com/lynchjames/obsidian-mind-map
Tag Wrangler,320088,Rename merge toggle and search tags from the tag pane.,https://github.com/pjeby/tag-wrangler
Icon Folder,276025,Add icons to your folders.,https://github.com/FlorianWoelki/obsidian-icon-folder
Editor Syntax Highlight,246115,Show syntax highlighing in code blocks the editor.,https://github.com/deathau/cm-editor-syntax-highlight-obsidian
Annotator,233868,Read and annotate PDFs and EPUBs in Obsidian.,https://github.com/elias-sundqvist/obsidian-annotator
Remotely Save,230592,Yet another unofficial plugin allowing users to sync notes between local device and the cloud service (S3 Dropbox webdav OneDrive).,https://github.com/remotely-save/remotely-save
Recent Files,230098,Display a list of recently opened files.,https://github.com/tgrosinger/recent-files-obsidian
Checklist,224799,Consolidate checklists across all files into a single view.,https://github.com/delashum/obsidian-checklist-plugin
Day Planner,214539,Day planning and managing pomodoro timers from a task list in a Markdown note.,https://github.com/lynchjames/obsidian-day-planner
Better Word Count,214133,Counts the words of selected text in the editor.,https://github.com/lukeleppan/better-word-count
Natural Language Dates,213509,Create date-links based on natural language.,https://github.com/argenos/nldates-obsidian
Emoji Toolbar,209082,Quickly search for and insert emojis into your editor.,https://github.com/oliveryh/obsidian-emoji-toolbar
Ozan's Image in Editor Plugin,207528,View Images Transclusions iFrames and PDF Files within the Editor without a necessity to switch to Preview.,https://github.com/ozntel/oz-image-in-editor-obsidian
Linter,205684,Formats and styles your notes. It can be used to format YAML tags aliases arrays and metadata; footnotes; headings; spacing; math blocks; regular Markdown contents like list italics and bold styles; and more with the use of custom rule options as well.,https://github.com/platers/obsidian-linter
Homepage,198396,Open a specified note canvas or workspace on startup or set it for quick access later.,https://github.com/mirnovov/obsidian-homepage
Periodic Notes,186946,Create/manage your daily weekly and monthly notes.,https://github.com/liamcain/obsidian-periodic-notes
Omnisearch,183074,Intelligent search for your notes PDFs and OCR for images.,https://github.com/scambier/obsidian-omnisearch
Advanced URI,182162,Control everything in Obsidian with URI.,https://github.com/Vinzent03/obsidian-advanced-uri
DB Folder,161084,Folder with the capability to store and retrieve data from a folder like database.,https://github.com/RafaelGB/obsidian-db-folder
Pandoc,160990,Pandoc export plugin for Obsidian. It provides commands to export to formats like DOCX ePub and PDF.,https://github.com/OliverBalfour/obsidian-pandoc
Highlightr,152943,A minimal and aesthetically pleasing highlighting menu that makes color-coded highlighting much easier with a configurable assortment of highlight colors.,https://github.com/chetachiezikeuzor/Highlightr-Plugin
Paste URL into selection,152207,"Paste URL ""into"" selected text.",https://github.com/denolehov/obsidian-url-into-selection
Obsidian markmind,142382,Mind map outline and PDF annotate tool for Obsidian. (Closed Source),https://github.com/MarkMindCkm/obsidian-markmind
Note Refactor,137226,Extract note content into new notes and split notes.,https://github.com/lynchjames/note-refactor-obsidian
File Tree Alternative Plugin,135839,Allows you to have an alternative file tree view.,https://github.com/ozntel/file-tree-alternative
Text Generator,129142,Text generator is a handy plugin that helps you generate text content using GPT-3 (OpenAI).,https://github.com/nhaouari/obsidian-textgenerator-plugin
Hover Editor,127499,Transform the Page Preview hover popover into a fully working editor instance.,https://github.com/nothingislost/obsidian-hover-editor
Citations,127385,Automatically search and insert citations from a Zotero library.,https://github.com/hans/obsidian-citation-plugin
Dictionary,122481,A multilingual dictionary for Obsidian.,https://github.com/phibr0/obsidian-dictionary
Zotero Integration,122480,Insert and import citations bibliographies notes and PDF annotations from Zotero.,https://github.com/mgmeyers/obsidian-zotero-integration
Hider,121199,Hide UI elements such as tooltips status titlebar and more.,https://github.com/kepano/obsidian-hider
Projects,119997,Project management for Obsidian.,https://github.com/marcusolsson/obsidian-projects
Quick Switcher++,119950,Enhanced Quick Switcher search open panels and symbols.,https://github.com/darlal/obsidian-switcher-plus
MAKE.md,118258,Make.md brings you features that supercharges Obsidian. Sort your files in custom order and add file icons using Spaces. Edit inline embeds with Flow Editor. And style your text and add new Markdown blocks without writing Markdown using Maker Mode.,https://github.com/Make-md/makemd
LanguageTool Integration,116223,advanced spell/grammar checks with the help of language-tool.,https://github.com/Clemens-E/obsidian-languagetool-plugin
DataLoom,116041,Weave together data from diverse sources into a cohesive table view. Inspired by Excel spreadsheets and Notion.so.,https://github.com/trey-wallis/obsidian-dataloom
Spaced Repetition,114080,Fight the forgetting curve by reviewing flashcards & entire notes.,https://github.com/st3v3nmw/obsidian-spaced-repetition
