"plugin_name","plugin_author","num_downloads","description","repo_url"
"Source Code Note","By Waiting","416 downloads","Helps you organize source code note easily.","https://github.com/waiting0324/obsidian-code-note"
"At People","By Tobias Davis","313 downloads","Use the familiar @ notation to cross link to people files in a people folder.","https://github.com/saibotsivad/obsidian-at-people"
"Image Captions","By Alan Grainger","4,951 downloads","Adds captions to images when there is alt-text specified.","https://github.com/alangrainger/obsidian-image-captions"
"Scroll Speed","By Florian Ludewig","1,430 downloads","Change the scroll speed in Obsidian notes.","https://github.com/flolu/obsidian-scroll-speed"
"Latex Environments","By Zach Raines","14,980 downloads","Quickly insert and change LaTeX environments within math environments.","https://github.com/raineszm/obsidian-latex-environments"
"Multi-Column Markdown","By Cameron Robinson","64,796 downloads","Create Markdown documents with multiple columns of content viewable within Obsidian's preview mode.","https://github.com/ckRobinson/multi-column-markdown"
"Filename Emoji Remover","By Yüksel Tolun","600 downloads","Automatically remove emojis from filenames. Main purpose is to get rid of Dropbox sync issues for Readwise imported content.","https://github.com/YTolun/obsidian-filename-emoji-remover"
"Alias from heading","By Chris Basham","961 downloads","Implicitly add an alias matching the first heading in a document.","https://github.com/basham/obsidian-alias-from-heading"
"Markdown Sync Scroll","By ProjectXero","163 downloads","Allow two linked markdown views to scroll synchronously.","https://github.com/XeroAlpha/markdown-sync-scroll"
"User Plugins","By mnowotnik","966 downloads","Use js files or snippets to code your own quick and dirty plugins.","https://github.com/mnowotnik/obsidian-user-plugins"
"File Order","By lukasbach","4,478 downloads","Use number-prefixes in your file names to define a custom order, and drag-and-drop the files to update that order.","https://github.com/lukasbach/obsidian-file-order"
"Min Width","By doitian","1,172 downloads","Set the Minimum Width of the Active Pane.","https://github.com/doitian/obsidian-min-width"
"Quran Lookup","By Abu Ibrahim","590 downloads","Easily add Quran verses and translations in Obsidian with this text replacement plugin.","https://github.com/abuibrahim2/quranlookup"
"Dialogue","By Jakub Holub","6,451 downloads","Create dialogues in Markdown.","https://github.com/holubj/obsidian-dialogue-plugin"
"Discordian Theme","By @radekkozak","8,501 downloads","Fine-grained control of Discordian Theme.","https://github.com/radekkozak/discordian-plugin"
"Markdown to Jira Converter","By muckmuck","1,656 downloads","Convert notes or selections to Jira markup and vice versa.","https://github.com/muckmuck96/obsidian-md-to-jira"
"Hotkeys for Bookmarks","By Vinzent","3,517 downloads","Set an individual hotkey for the first 9 starred files and open them just with your keyboard.","https://github.com/Vinzent03/obsidian-shortcuts-for-starred-files"
"Gemmy","By Obsidian","1,724 downloads","Obsidian Unhelper. 2023 April Fool's plugin brought to you by Obsidian.","https://github.com/ericaxu/gemmy"
"Flexible Pomodoro For Obsidian","By grassbl8d","6,493 downloads","Adds a pomodoro timer to your status bar. This pomodoro has additional options such as early log and extend.","https://github.com/grassbl8d/flexible-pomo-obsidian"
"Tab Switcher","By Vinzent & phibr0","53,486 downloads","Switch your tabs with Ctrl + Tab in recently used order like in a browser.","https://github.com/Vinzent03/tab-switcher"
"Mathpad","By Gabriele Cannata","4,220 downloads","Computer Algebra System and calculator for Obsidian","https://github.com/Canna71/obsidian-mathpad"
"Focus Mode","By ryanpcmcquen","29,615 downloads","Add Focus Mode to Obsidian.","https://github.com/ryanpcmcquen/obsidian-focus-mode"
"MetaEdit","By Christian B. B. Houmann","55,991 downloads","MetaEdit helps you manage your metadata.","https://github.com/chhoumann/MetaEdit"
"Literate Haskell","By James Jensen","334 downloads","Integrate .lhs files into your PKM.","https://github.com/jajaperson/obsidian-literate-haskell"
"Script Launcher","By Alessandro Ruggiero","4,393 downloads","Launch scripts from the Obsidian app. You can add scripts shortcuts on your bottom bar and launch them with just one click!","https://github.com/AlessandroRuggiero/script-launcher"
"Random To-Do","By NatiAris","1,209 downloads","Open a random file containing your custom to-do marker, or a random marker at its position.","https://github.com/NatiAris/obsidian-random-todo"
"Search++","By Noureddine Haouari","2,741 downloads","Allow inserting text context search results on the active note, the plugin is based on the plugin mrj-text-expand-witb-text by MrJackphil.","https://github.com/nhaouari/searchpp"
"Obsidian Cloudinary Uploader","By Jordan Handy","949 downloads","Upload pasted images from your clipboard to Cloudinary.","https://github.com/jordanhandy/obsidian-cloudinary-uploader"
"Electron Window Tweaker","By mgmeyers","5,211 downloads","Tweak various Electron window settings.","https://github.com/mgmeyers/obsidian-electron-window-tweaker"
"Vim Input Method Switch","By yuanotes","2,418 downloads","Switch input method with fcitx-remote when Vim keymap is enabled.","https://github.com/yuanotes/obsidian-vim-im-switch-plugin"
"Onyx Boox Annotation & Highlight Extractor","By Akos Balasko","1,198 downloads","Extracts annotations and highlights files exported from Onyx Boox tablets, and converts them to reference, literature and permanent notes fitting to the Zettelkasten method.","https://github.com/akosbalasko/Onyx-Boox-Annotation-Highlight-Extractor"
"Obsidian Stylist","By ixth","1,017 downloads","Add classes and styles on Markdown blocks.","https://github.com/ixth/obsidian-stylist"
"CustomJS","By Sam Lewis","12,093 downloads","Reuse custom JavaScript across desktop and mobile.","https://github.com/saml-dev/obsidian-custom-js"
"Plugins Galore","By dylanpizzo","1,689 downloads","Easily sideload other plugins.","https://github.com/plugins-galore/obsidian-plugins-galore"
"Dynamic Highlights","By nothingislost","11,245 downloads","Dynamically highlight text based on cursor selection or search query with full regex, mobile, and live preview support","https://github.com/nothingislost/obsidian-dynamic-highlights"
"Obsidian42 - Strange New Worlds","By TfTHacker","26,391 downloads","Revealing networked thought and the strange new worlds created by your vault.","https://github.com/TfTHacker/obsidian42-strange-new-worlds"
"Wordy","By nqthqn","3,236 downloads","Thesaurus, Rhymes and more using the Datamuse API. Find related words easily.","https://github.com/nqthqn/obsidian-wordy"
"Obsidian Trello","By OfficerHalf","5,810 downloads","Connect Trello cards to Obsidian notes.","https://github.com/OfficerHalf/obsidian-trello"
"DMN Plugin","By joleaf","299 downloads","Enables viewing DMNs using dmn-js.","https://github.com/joleaf/obsidian-dmn-plugin"
"Persistent Links","By Ivan Lednev","698 downloads","Automatically repair internal links to blocks and headings when moving them between files","https://github.com/ivan-lednev/obsidian-persistent-links"
"CookLang Editor","By death_au","3,607 downloads","Edit and display CookLang recipes in Obsidian.","https://github.com/deathau/cooklang-obsidian"
"QuickShare","By Maxime Cannoodt (@mcndt)","9,422 downloads","Securely share your Obsidian notes with one click. Notes are end-to-end encrypted. No API keys or configuration required.","https://github.com/mcndt/obsidian-quickshare"
"Remember cursor position","By Dmitry Savosh","37,729 downloads","Remember cursor and scroll position for each note.","https://github.com/dy-sh/obsidian-remember-cursor-position"
"Mindmap Nextgen","By VeroCloud Pty Ltd (original by James Lynch)","18,762 downloads","Preview notes as Markmap mind maps.","https://github.com/verocloud/obsidian-mindmap-nextgen"
"Python lab","By Cristian Vasquez","3,421 downloads","An interface to experiment with Python scripts and more.","https://github.com/cristianvasquez/obsidian-lab"
"Code Files","By Lukas Bach","1,786 downloads","Edit Code Files in Obsidian with VS Code's powerful Monaco Editor.","https://github.com/lukasbach/obsidian-code-files"
"AI Commander","By Simon Yang","4,423 downloads","Generate audio transcripts, images, and text in context of PDF attachments or web search results using OpenAI and Bing API.","https://github.com/yzh503/obsidian-aicommander-plugin"
"Edit History","By Antonio Tejada","568 downloads","Keeps an automatic edit history of your notes, review the history, diff against or restore previous edits.","https://github.com/antoniotejada/obsidian-edit-history"
"Convert url to preview (iframe)","By FHachez","46,698 downloads","Convert a URL (e.g. YouTube) into an iframe (preview).","https://github.com/FHachez/obsidian-convert-url-to-iframe"
"Sigma","By monesga","899 downloads","Enable using Obsidian notes as calculation sheets.","https://github.com/monesga/obsidian-sigma"
"Link Exploder","By Ben Hughes","4,944 downloads","Link Exploder creates a canvas from a note, embedding it's incoming (i.e. backlinks) and outgoing links onto the canvas (as well as the their linked notes).","https://github.com/benhughes/obsidian-link-exploder"
"Force note view mode","By Benny Wydooghe","17,020 downloads","Force the view mode for a note by using frontmatter: YAML block with 'obsidian_ui_mode' as key.","https://github.com/bwydoogh/obsidian-force-view-mode-of-note"
"D2","By Terrastruct","3,833 downloads","The official D2 plugin for Obsidian. D2 is a modern diagram scripting language that turns text to diagrams.","https://github.com/terrastruct/d2-obsidian"
"Journal Review","By Kageetai","1,580 downloads","Review your daily notes on their anniversaries, like what happened today last year.","https://github.com/Kageetai/obsidian-plugin-journal-review"
"Kill and Yank","By INOUE Takuya","499 downloads","Enable kill and yank (like Emacs) in the editor.","https://github.com/inouetakuya/obsidian-kill-and-yank"
"AI Notes Summary","By R. Ian Bull (irbull)","323 downloads","Uses OpenAI to generate a summary of referenced notes.","https://github.com/irbull/obsidian-ai-summary"
"URL Namer","By zfei","1,371 downloads","Retrieves the HTML titles to name the raw URL links.","https://github.com/zfei/obsidian-url-namer"
"Obsidian MtG","By omardelarosa","759 downloads","Manage Magic: The Gathering decks and card lists as Obsidian notes.","https://github.com/omardelarosa/obsidian-mtg"
"Omnisearch","By Simon Cambier","183,074 downloads","Intelligent search for your notes, PDFs, and OCR for images.","https://github.com/scambier/obsidian-omnisearch"
"File Cooker","By iuian","3,349 downloads","Deal batch notes from search results,current file, or Dataview query string.","https://github.com/ivaneye/obsidian-files-cooker"
"Meta Bind Plugin","By Moritz Jung","5,893 downloads","Create input fields inside your notes and bind them to metadata fields.","https://github.com/mProjectsCode/obsidian-meta-bind-plugin"
"Regex Pipeline","By No3371","7,618 downloads","Set up custom regex rules to automatically format notes.","https://github.com/No3371/obsidian-regex-pipeline"
"Link Archive","By Tamás Deme","2,257 downloads","Archive links in your note so they're available to you even if the original site goes down or gets removed.","https://github.com/tomzorz/obsidian-link-archive"
"Media Extended","By AidenLx","71,849 downloads","Improve media (video/audio) playing in Obsidian.","https://github.com/aidenlx/media-extended"
"Generic Initiative Tracker","By Beau Shinkle","1,351 downloads","TTRPG Generic Initiative Tracker.","https://github.com/beaushinkle/obsidian-generic-initiative-tracker"
"Time Ruler","By Joshua Tazman Reinier","2,125 downloads","A drag-and-drop time ruler combining the best of a task list and a calendar view (integrates with Tasks, Full Calendar, and Dataview).","https://github.com/joshuatazrein/obsidian-time-ruler"
"Title Serial Number Plugin","By Domenic","2,599 downloads","Adds serial numbers to your Markdown title.","https://github.com/yalvhe2009/obsidian-title-serial-number-plugin"
"Citations","By Jon Gauthier","127,385 downloads","Automatically search and insert citations from a Zotero library.","https://github.com/hans/obsidian-citation-plugin"
"Task Progress Bar","By Boninall","10,333 downloads","A task progress bar plugin for tasks in Obsidian.","https://github.com/Quorafind/Obsidian-Task-Progress-Bar"
"TimeDiff plugin","By Grzegorz Dominiczak","1,301 downloads","Calculates and displays diff in hours and minutes between two dates in `timediff` Markdown block.","https://github.com/dominiczaq/obsidian-plugin-time-diff"
"Word Splitting for Simplified Chinese in Edit Mode and Vim Mode","By AidenLx","25,411 downloads","A patch for Obsidian's built-in CodeMirror Editor to support Simplified Chinese word splitting.","https://github.com/aidenlx/cm-chs-patch"
"Auto Hide","By skelato1","3,541 downloads","Collapse sidebars when clicking on the editor/viewer panel.","https://github.com/skelato1/obsidian-auto-hide"
"Scroll Offset","By Lijyze","1,659 downloads","Preserve custom distances before or after cursor.","https://github.com/lijyze/scroll-offset"
"Emacs text editor","By Klojer","30 downloads","Partial emulation of Emacs text editor for Obisidian.","https://github.com/Klojer/obsidian-emacs-text-editor"
"Review","By ryanjamurphy","38,858 downloads","Add a link to the current note to a daily note on a future date (or a past date, you time traveller).","https://github.com/ryanjamurphy/review-obsidian"
"File Forgetting Curve","By ptrsvltns","409 downloads","File Forgetting Curve.","https://github.com/ptrsvltns/file-forgetting-curve-obsidian"
"Kobo Highlights Importer","By Kevin Hellemun & Flavio Cordari","2,325 downloads","Import highlights from Kobo devices.","https://github.com/OGKevin/obsidian-kobo-highlights-import"
"Leader Hotkeys","By Tony Grosinger","5,755 downloads","Add leader hotkey support to any command (like tmux or vim).","https://github.com/tgrosinger/leader-hotkeys-obsidian"
"Read Later","By Gabriele Cannata","1,667 downloads","Synch web pages to Markdown and integrate with read-it-later apps (Pocket, Instapaper).","https://github.com/Canna71/obsidian-readlater"
"Repeat","By Andre Perunicic","2,962 downloads","Review notes using periodic or spaced repetition.","https://github.com/prncc/obsidian-repeat-plugin"
"Format Hotkeys","By Ansel Santosa","2,960 downloads","Google Docs style formatting hotkeys for Obsidian.","https://github.com/anstosa/format-hotkeys-obsidian"
"Tracker","By pyrochlore","71,750 downloads","Tracks occurrences and numbers in your notes.","https://github.com/pyrochlore/obsidian-tracker"
"Tasks","By Martin Schenck and Clare Macrae","628,198 downloads","Task management for Obsidian","https://github.com/obsidian-tasks-group/obsidian-tasks"
"Commits","By darakah","4,977 downloads","Track & show commits in Obsidian vault or specified project.","https://github.com/Darakah/obsidian-commits"
"GitHub Issue Augmentation","By samprintz","304 downloads","Augments GitHub issue IDs","https://github.com/samprintz/obsidian-issue-augmentation-plugin"
"Zoottelkeeper Plugin","By Akos Balasko","29,381 downloads","It maintains index files in all of your folders in your vault: if you create/delete/move a note, the index files will be updated automatically. It can be used to show folders in Graph View.","https://github.com/akosbalasko/zoottelkeeper-obsidian-plugin"
"Daily Stats","By Dhruvik Parikh","8,640 downloads","Track your daily word count.","https://github.com/dhruvik7/obsidian-daily-stats"
"APIRequest","By rooyca","407 downloads","Request and retrieve data from APIs. The responses are delivered in a JSON format for easy integration with your notes.","https://github.com/Rooyca/obsidian-api-request"
"Better Comment Toggle","By Gino Valente","187 downloads","Improved comment toggling.","https://github.com/MrGVSV/obsidian-better-comment-toggle"
"Clear Unused Images","By Ozan Tellioglu","40,270 downloads","Clear the images that you are not using anymore in your Markdown notes to save space.","https://github.com/ozntel/oz-clear-unused-images-obsidian"
"Hover Editor","By NothingIsLost","127,499 downloads","Transform the Page Preview hover popover into a fully working editor instance.","https://github.com/nothingislost/obsidian-hover-editor"
"Discord Rich Presence","By Luke Leppan","9,608 downloads","Update your Discord Status to show your friends what you are working on in Obsidian.","https://github.com/lukeleppan/obsidian-discordrpc"
"Itinerary","By Adam Coddington","3,819 downloads","Make planning your trip or event easier by rendering a calendar from event information found in your notes.","https://github.com/coddingtonbear/obsidian-itinerary"
"Easy Typing","By yaozhuwa","59,991 downloads","Auto format when typing.","https://github.com/Yaozhuwa/easy-typing-obsidian"
"Novel Word Count","By Isaac Lyman","25,455 downloads","Displays a word count, page count, creation date, or other statistic for each file, folder and vault in the File Explorer pane.","https://github.com/isaaclyman/novel-word-count-obsidian"
"Arcana","By A-F-V","818 downloads","Supercharge your note-taking through AI-powered insights and suggestions.","https://github.com/A-F-V/obsidian-arcana"
"Avatar","By froehlichA","1,345 downloads","Display an avatar image in your notes.","https://github.com/froehlichA/obsidian-avatar"
"Marp","By JichouP","3,313 downloads","Plugin for using Marp on Obsidian.","https://github.com/JichouP/obsidian-marp-plugin"
"Enhancing Mindmap","By Mark","105,514 downloads","This is a enhancing mindmap plugin for Obsidian. You can edit mindmap on Markdown.","https://github.com/MarkMindCkm/obsidian-enhancing-mindmap"
"Obsidian Link Converter","By Ozan Tellioglu","7,921 downloads","Scan all your links in the vault and convert them to your desired format.","https://github.com/ozntel/obsidian-link-converter"
"JSONifier","By Kjell Connelly","1,538 downloads","JSON.stringify() or JSON.parse() highlighted text and copy to clipboard.","https://github.com/KjellConnelly/obsidian-jsonifier"
"Slide Note","By Jinyan Xu","1,695 downloads","Conveniently take notes on PDF course slides :P","https://github.com/Phantom1003/obsidian-slide-note"
"Vimrc Support","By esm","51,320 downloads","Auto-load a startup file with Obsidian Vim commands.","https://github.com/esm7/obsidian-vimrc-support"
"Obsidian Orthography","By denisoed","5,464 downloads","Check & fix orthography errors in text.","https://github.com/denisoed/obsidian-orthography"
"Google Keep Import","By Dale de Silva","1,591 downloads","Allows import of Google Keep backup json files and their attachments. Can also be used to import other files.","https://github.com/daledesilva/obsidian_google-keep-import"
"Simple Mention","By der-tobi","1,496 downloads","Get highlighted mentions and mention suggestions. Find all occurrences of a mention.","https://github.com/der-tobi/obsidian-simple-mention"
"ini Editor","By death_au","782 downloads","Edit .ini files in Obsidian.","https://github.com/deathau/ini-obsidian"
"Reveal file in explorer","By 1C0D","2,036 downloads","Clicking header title reveal active file in explorer and (option) when opening file + option to fold other directories.","https://github.com/1C0D/Obsidian-Reveal-File-in-explorer"
"Folder Focus Mode","By grochowski","5,437 downloads","Focus file explorer on chosen folder and its files and subdirectories, while hiding all the other elements.","https://github.com/grochowski/obsidian-folder-focus-mode"
"Editor Syntax Highlight","By death_au","246,115 downloads","Show syntax highlighing in code blocks the editor.","https://github.com/deathau/cm-editor-syntax-highlight-obsidian"
"Whisper","By Nik Danilov","4,720 downloads","Speech-to-text using OpenAI Whisper.","https://github.com/nikdanilov/whisper-obsidian-plugin"
"DeepL","By Till Friebe","3,222 downloads","Translate selected text into more than 25 languages with DeepL.","https://github.com/friebetill/obsidian-deepl"
"MSG Handler","By Ozan Tellioglu","1,291 downloads","Easily display and search MSG files from Outlook in your Obsidian vault.","https://github.com/ozntel/obsidian-msg-handler"
"Influx","By Jens M Gleditsch","11,738 downloads","A bullet journaling plugin that aggregates a terse stream of backlinked clippings in the footer of notes.","https://github.com/jensmtg/influx"
"Toggle Case","By automattech","1,255 downloads","Set a hotkey to toggle between `lowercase` `UPPERCASE` and `Title Case`.","https://github.com/MatthewAlner/obsidian-toggle-case"
"Control Characters","By Johannes Theiner","1,672 downloads","Show control/non-printing characters in edit mode.","https://github.com/joethei/obsidian-control-characters"
"Code block from selection","By Dmitry Savosh","5,761 downloads","Adds code block for the selected text.","https://github.com/dy-sh/obsidian-code-block-from-selection"
"Creases","By Liam Cain","12,243 downloads","Tools for effectively folding Markdown sections in Obsidian.","https://github.com/liamcain/obsidian-creases"
"AI Tools","By solderneer","406 downloads","Adding powerful semantic search, generative answers, and other AI tools to Obsidian, using Supabase + OpenAI.","https://github.com/solderneer/obsidian-ai-tools"
"Furigana","By Koppa","1,174 downloads","Helper plugin for furigana and <ruby>.","https://github.com/uonr/obsidian-furigana"
"Workspaces Plus","By NothingIsLost","38,854 downloads","Quickly switch and manage workspaces","https://github.com/nothingislost/obsidian-workspaces-plus"
"DataLoom","By Trey Wallis","116,041 downloads","Weave together data from diverse sources into a cohesive table view. Inspired by Excel spreadsheets and Notion.so.","https://github.com/trey-wallis/obsidian-dataloom"
"Bellboy","By Shaked Lokits","552 downloads","Opinionated file structure manager.","https://github.com/shakedlokits/obsidian-bellboy"
"Mixa","By Mixa Team","537 downloads","Publish your notes and blog posts with Mixa directly from Obsidian.","https://github.com/mixasite/obsidian-mixa"
"Topic Linking","By Liam Magee","10,095 downloads","Convert PDF files and web links to Markdown, and create topics from Markdown","https://github.com/liammagee/obsidian-topic-linking"
"Paste As HTML","By maotong06","2,519 downloads","Paste As HTML, Keep the original CSS style. Paste from web browser.","https://github.com/maotong06/obsidian-paste-as-html-plugin"
"Go to Line","By phibr0","1,051 downloads","Provides a Go to Line Command","https://github.com/phibr0/obsidian-go-to-line"
"Drag-n-Drop for blocks","By Artem Barmin","13,687 downloads","Allow moving/copying/and creation embeds for blocks with drag-n-drop just like Logseq or Roam Research.","https://github.com/artem-barmin/obsidian-block-drag-n-drop"
"Agile Task Notes","By BoxThatBeat","2,816 downloads","Import your tasks from your TFS (Azure or Jira) to take notes on them and make todo-lists!","https://github.com/BoxThatBeat/obsidian-agile-task-notes"
"Spaced Repetition","By Stephen Mwangi","114,080 downloads","Fight the forgetting curve by reviewing flashcards & entire notes.","https://github.com/st3v3nmw/obsidian-spaced-repetition"
"Rewarder","By Gustav Gnosspelius","4,518 downloads","Gives you rewards for completing tasks/todos, highly configurable.","https://github.com/Gnopps/obsidian-rewarder"
"O2","By haril song","591 downloads","This is a syntax converting plugin to make Obsidian Markdown syntax compatible with other Markdown syntax.","https://github.com/songkg7/o2"
"CSV Editor","By death_au","11,456 downloads","Edit CSV files in Obsidian.","https://github.com/deathau/csv-obsidian"
"PARA Shortcuts","By gOAT","1,610 downloads","Serves useful commands to setup and manage your knowledge using the PARA method.","https://github.com/gOATiful/para-shortcuts"
"Tidy Footnotes","By Charlie Chao","8,294 downloads","Tidy your footnotes seamlessly.","https://github.com/charliecm/obsidian-tidy-footnotes"
"Voice","By Chris Oguntolu","60 downloads","Listen to your notes being read aloud.","https://github.com/chrisurf/obsidian-voice"
"Various Complements","By tadashi-aikawa","110,105 downloads","Enables you to complete words like the auto-completion of IDE.","https://github.com/tadashi-aikawa/obsidian-various-complements-plugin"
"Loom","By celeste","748 downloads","Loom in Obsidian","https://github.com/cosmicoptima/loom"
"Youglish Plugin","By Noureddine Haouari","4,469 downloads","Use YouTube to improve your pronunciation. YouGlish plugin gives you fast, unbiased answers about how words is spoken by real people and in context.","https://github.com/nhaouari/obsidian-youglish-plugin"
"Obsidian Badge","By Jun Lin","1,405 downloads","Show badge for Obsidian.","https://github.com/linjunpop/obsidian-badge"
"ArchiveBox","By invariant","400 downloads","ArchiveBox.io support for external Obsidian links.","https://github.com/invariant/obsidian-archivebox-plugin"
"brAIn","By lusob","791 downloads","A ChatGPT powered chatbot specifically focused on question answering over your Obsidian vault notes.","https://github.com/lusob/obsidian-brain"
"Netwik","By Boris Bondarenko","887 downloads","Union Vault. This plugin provides access to global network of notes. Anyone can create, view or edit notes. All changes will be synchronized between all participants.","https://github.com/fivol/netwik-obsidian"
"Dashing Cursor","By Shukai Ni","1,004 downloads","Enables dashing cursor that follows the page scroll.","https://github.com/9r0x/obsidian-dashing-cursor"
"Etherpad Lite","By egradman","806 downloads","Copy and sync notes with an Etherpad Lite server to unlock easy web-based collaboration with others.","https://github.com/egradman/obsidian-etherpad-lite"
"Auto Glossary","By Ennio Italiano","2,492 downloads","Automatically create a glossary of files, an index of files or both in Obsidian.","https://github.com/ennioitaliano/obsidian-auto-glossary"
